station_id	first_date	first_year	last_date	last_year	data_days	data_starts	data_ends	code	name	lon	lat	boro	region_id	geoid
218	2013-07-01	2013	2015-12-23	2015	898	10672	11810		Gallatin Pl & Livingston St	-73.98707105	40.69028437	BK	71	302
271	2013-07-01	2013	2015-08-26	2015	732	32519	33883		Ashland Pl & Hanson Pl	-73.97805813	40.68528172	BK	71	302
290	2013-07-01	2013	2015-12-31	2015	862	60746	59636		2 Ave & E 58 St	-73.96478473	40.76020258	MN	71	106
318	2013-07-01	2013	2015-10-16	2015	809	129217	120198		E 43 St & Vanderbilt Ave	-73.9779874	40.75320159	MN	71	105
404	2013-07-01	2013	2015-08-31	2015	792	87555	91861		9 Ave & W 14 St	-74.00550867	40.7405826	MN	71	102
431	2013-07-01	2013	2015-09-29	2015	783	5668	5736		Hanover Pl & Livingston St	-73.98263429	40.68864636	BK	71	302
538	2013-07-01	2013	2015-10-09	2015	608	36434	36219		E 48 St & Madison Ave	-73.976684	40.75666	MN	71	105
3181	2015-08-03	2015	2015-09-29	2015	57	2380	2411		Soissons Landing	-74.016398	40.692609	MN	71	101
3133	2015-08-31	2015	2015-09-24	2015	25	2678	2341		E 67 St & Park Ave	-73.96493528	40.76735637	MN	71	108
3149	2015-09-11	2015	2015-11-20	2015	71	3107	2844		E 82 St & 2 Ave	-73.95324922	40.77517793	MN	71	108
3039	2015-10-30	2015	2015-11-02	2015	2	0	3	D	NYCBS Depot - DYR	-73.99375051	40.75908809	MN	71	104
137	2013-07-01	2013	2016-11-09	2016	1218	68879	73939		E 56 St & Madison Ave	-73.972924	40.761628	MN	71	105
160	2013-07-01	2013	2016-09-14	2016	1035	56797	56984		E 37 St & Lexington Ave	-73.978311	40.748238	MN	71	106
233	2013-07-01	2013	2016-06-17	2016	1051	35974	34673		Cadman Plaza W & Pierrepont St	-73.99052739	40.69475701	BK	71	302
263	2013-07-01	2013	2016-09-30	2016	1181	108798	108253		Elizabeth St & Hester St	-73.996375	40.71729	MN	71	102
294	2013-07-01	2013	2016-01-21	2016	820	89847	90409		Washington Square E	-73.9957214	40.73049393	MN	71	102
300	2013-07-01	2013	2016-08-10	2016	1128	96327	98966		Shevchenko Pl & E 7 St	-73.990214	40.728145	MN	71	103
329	2013-07-01	2013	2016-09-30	2016	1187	119830	124376		Greenwich St & N Moore St	-74.01020609	40.72043411	MN	71	101
375	2013-07-01	2013	2016-06-23	2016	988	118414	122025		Mercer St & Bleecker St	-73.99695094	40.72679454	MN	71	102
463	2013-07-01	2013	2016-05-26	2016	1057	115800	120296		9 Ave & W 16 St	-74.00443172	40.74206539	MN	71	104
512	2013-07-01	2013	2016-02-17	2016	958	72044	71605		W 29 St & 9 Ave	-73.99839279	40.7500727	MN	71	104
521	2013-07-01	2013	2016-05-17	2016	1020	268807	231151		8 Ave & W 31 St	-73.99444208	40.75096735	MN	71	104
3014	2015-08-01	2015	2016-05-07	2016	5	324	169	S	3969.TEMP (Bike The Branches - Central Branch)	-73.959114	40.722852	BK	71	301
3084	2015-08-18	2015	2016-12-14	2016	475	8694	8548		Devoe St & Leonard St	-73.94792458	40.71348658	BK	71	301
3104	2015-08-18	2015	2016-03-25	2016	217	13840	15145		Kent Ave & N 7 St	-73.96150225	40.72057658	BK	71	301
3079	2015-08-19	2015	2016-12-16	2016	482	10083	10218		Leonard St & Grand St	-73.94714303	40.71103537	BK	71	301
3097	2015-08-19	2015	2016-05-11	2016	263	5025	4873		N Henry St & Richardson St	-73.9424469	40.71921585	BK	71	301
3222	2015-08-26	2015	2016-09-07	2016	375	22008	23026		Hanson Pl & St Felix St	-73.97711366	40.6851596	BK	71	302
3019	2015-10-01	2015	2016-04-12	2016	137	0	325	D	NYCBS Depot - DEL	-73.981933	40.716633	MN	71	103
3229	2015-10-06	2015	2016-04-04	2016	176	916	829		Marcy Ave & MacDonough St	-73.94624949	40.68061768	BK	71	303
3234	2015-10-21	2015	2016-01-04	2016	76	6945	6908		E 40 St & Madison Ave	-73.98043156	40.75159368	MN	71	105
3099	2015-10-27	2015	2016-12-22	2016	408	4586	4282		Leonard St & Manhattan Ave	-73.94898266	40.7215224	BK	71	301
